Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1699656,-,-,-,30.05,31.22,0,27,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,9.600000000000001,0.52,0.3378,0.66,0,0,0,3,6.2,0,0,0,0,0.295,79.21000000000001,152.01,0.13,1012,1.8,261,3.9000000000000004
2018,1,1,0,30,9.4,0.52,0.3378,0.66,0,0,0,3,6.2,0,0,0,0,0.295,80.28,145.55,0.13,1012,1.8,262,3.7
2018,1,1,1,0,9.200000000000001,0.56,0.32080000000000003,0.66,0,0,0,0,6.5,0,0,0,0,0.295,83.5,139.06,0.13,1012,1.8,263,3.6
2018,1,1,1,30,9.1,0.56,0.32080000000000003,0.66,0,0,0,0,6.5,0,0,0,0,0.295,84.06,132.58,0.13,1012,1.7000000000000002,266,3.6
2018,1,1,2,0,9,0.58,0.2921,0.66,0,0,0,0,7,0,0,0,0,0.295,87.46000000000001,126.13000000000001,0.13,1012,1.7000000000000002,269,3.5
2018,1,1,2,30,9.1,0.58,0.2921,0.66,0,0,0,0,7,0,0,0,0,0.296,86.87,119.73,0.13,1012,1.6,271,3.5
2018,1,1,3,0,9.200000000000001,0.65,0.2743,0.66,0,0,0,0,7.5,0,0,0,0,0.296,89.13,113.39,0.13,1012,1.5,274,3.5
2018,1,1,3,30,9.3,0.65,0.2743,0.66,0,0,0,0,7.5,0,0,0,0,0.296,88.54,107.14,0.13,1012,1.5,276,3.4000000000000004
2018,1,1,4,0,9.5,0.71,0.2485,0.66,0,0,0,1,7.800000000000001,0,0,0,0,0.297,89.38,100.99000000000001,0.13,1013,1.5,277,3.4000000000000004
2018,1,1,4,30,9.8,0.71,0.2485,0.66,0,0,0,3,7.800000000000001,0,0,0,0,0.296,87.60000000000001,94.97,0.13,1013,1.4000000000000001,278,3.4000000000000004
