Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,758052,-,-,-,52.53,13.42,0,41,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,6.6000000000000005,1.18,0.0742,0.64,0,0,0,7,6.4,0,0,0,0,0.31,98.43,148.97,0.12,1019,1.2000000000000002,258,4.5
2019,1,1,0,30,6.800000000000001,1.18,0.0742,0.64,0,0,0,7,6.4,0,0,0,0,0.311,97.09,146.75,0.12,1019,1.2000000000000002,260,4.9
2019,1,1,1,0,7,1.2,0.07880000000000001,0.64,0,0,0,7,6.6000000000000005,0,0,0,0,0.313,96.99000000000001,143.77,0.12,1019,1.2000000000000002,262,5.300000000000001
2019,1,1,1,30,7,1.2,0.07880000000000001,0.64,0,0,0,8,6.5,0,0,0,0,0.313,96.9,140.22,0.12,1018,1.1,262,5.6000000000000005
2019,1,1,2,0,7,1.23,0.0745,0.64,0,0,0,7,6.5,0,0,0,0,0.314,96.36,136.27,0.12,1018,1.1,262,5.9
2019,1,1,2,30,6.9,1.23,0.0745,0.64,0,0,0,7,6.4,0,0,0,0,0.312,96.92,132.04,0.12,1017,1.1,262,6
2019,1,1,3,0,6.7,1.21,0.0728,0.64,0,0,0,7,6.1000000000000005,0,0,0,0,0.311,95.78,127.62,0.12,1016,1.1,261,6.2
2019,1,1,3,30,6.5,1.21,0.0728,0.64,0,0,0,7,6.1000000000000005,0,0,0,0,0.31,97.10000000000001,123.11,0.12,1016,1.2000000000000002,261,6.4
2019,1,1,4,0,6.300000000000001,1.16,0.0734,0.64,0,0,0,7,5.5,0,0,0,0,0.309,94.72,118.55,0.12,1015,1.3,260,6.6000000000000005
2019,1,1,4,30,6.2,1.16,0.0734,0.64,0,0,0,6,5.5,0,0,0,0,0.309,95.28,114,0.12,1014,1.4000000000000001,259,6.800000000000001
