Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3192806,-,-,-,28.69,77.1,0,218,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,7.1000000000000005,1.73,0.49100000000000005,0.64,0,0,0,0,-5.2,0,0,0,0,0.298,41.13,112.3,0.14,988,0.6000000000000001,266,0.9
2018,1,1,0,30,6.7,1.73,0.49100000000000005,0.64,0,0,0,0,-5.2,0,0,0,0,0.3,42.27,105.99000000000001,0.14,988,0.6000000000000001,261,0.9
2018,1,1,1,0,6.4,1.74,0.5086,0.64,0,0,0,1,-5.300000000000001,0,0,0,0,0.301,43,99.78,0.14,989,0.6000000000000001,255,0.9
2018,1,1,1,30,6.7,1.74,0.5086,0.64,0,0,0,0,-5.300000000000001,0,0,0,0,0.302,42.12,93.71000000000001,0.14,989,0.6000000000000001,254,0.9
2018,1,1,2,0,7,1.74,0.5331,0.64,10,36,11,0,-4.4,10,36,0,11,0.302,44.11,87.54,0.14,989,0.6000000000000001,253,0.8
2018,1,1,2,30,8.4,1.74,0.5331,0.64,49,164,72,0,-4.4,49,164,0,72,0.303,40.15,81.98,0.14,990,0.6000000000000001,254,1
2018,1,1,3,0,9.700000000000001,1.75,0.5555,0.64,91,274,155,0,-4.9,91,274,0,155,0.304,35.4,76.56,0.14,990,0.6000000000000001,254,1.2000000000000002
2018,1,1,3,30,11.100000000000001,1.75,0.5555,0.64,125,368,243,0,-4.9,125,368,0,243,0.304,32.25,71.43,0.14,990,0.6000000000000001,258,1.1
2018,1,1,4,0,12.4,1.75,0.5698,0.64,154,434,326,3,-4.6000000000000005,129,0,0,129,0.305,30.22,66.66,0.14,990,0.6000000000000001,262,0.9
2018,1,1,4,30,14.8,1.75,0.5698,0.64,176,490,403,3,-4.6000000000000005,192,47,0,214,0.306,25.86,62.36,0.14,990,0.6000000000000001,270,1
